seed,method,scenario_id,task,target,consumer,metric,value,direction,available,trajectory_count,tolerance_s,smoke_only,selected_alpha
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7263424726908569,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5625,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.133338707296059,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.3747389577246985,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.375,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6025116464446829,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.5379271370669206,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7082162969521199,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5833333333333334,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.278118958566786,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.610171685142089,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.4166666666666667,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6025116464446829,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.5423307968303561,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7255829204379638,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5208333333333334,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.11847388506731,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.3465664696016875,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.3541666666666667,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+050ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6051369695228733,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.5379271370669206,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7082162969521199,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5833333333333334,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.278118958566786,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.610171685142089,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.4166666666666667,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_-100ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6025116464446829,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.5423307968303561,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7255829204379638,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5208333333333334,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+100ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_drift_+100ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.11847388506731,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+100ppm,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.3465664696016875,lower,True,48,2.0,False,0.1
