sortie_id,analysis_id,measurement,source_field,feature_name,display_label,metadata_source
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1066,BUS6000019110021.code1066,[IFF空空询问目标参数[3]][IFF空空询问目标参数有效性][有效性_辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1067,BUS6000019110021.code1067,[IFF空空询问目标参数[3]][目标方位_机体系][_角度_毫弧度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1068,BUS6000019110021.code1068,[IFF空空询问目标参数[3]][目标斜距][_距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1069,BUS6000019110021.code1069,[IFF空空询问目标参数[3]][目标高度][_高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1070,BUS6000019110021.code1070,[IFF空空询问目标参数[3]][敌我识别_识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1071,BUS6000019110021.code1071,[IFF空空询问目标参数[3]][目标方位角精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1072,BUS6000019110021.code1072,[IFF空空询问目标参数[3]][目标斜距精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1073,BUS6000019110021.code1073,[IFF空空询问目标参数[3]][IFF主波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1074,BUS6000019110021.code1074,[IFF空空询问目标参数[3]][IFF辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1075,BUS6000019110021.code1075,[IFF空空询问目标参数[4]][IFF目标序号],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1076,BUS6000019110021.code1076,[IFF空空询问目标参数[4]][IFF目标敌我属性],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1077,BUS6000019110021.code1077,[IFF空空询问目标参数[4]][IFF询问_交织状态],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1078,BUS6000019110021.code1078,[IFF空空询问目标参数[4]][IFF空空询问目标参数有效性][有效性_目标方位],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1079,BUS6000019110021.code1079,[IFF空空询问目标参数[4]][IFF空空询问目标参数有效性][有效性_目标距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1080,BUS6000019110021.code1080,[IFF空空询问目标参数[4]][IFF空空询问目标参数有效性][有效性_目标高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1081,BUS6000019110021.code1081,[IFF空空询问目标参数[4]][IFF空空询问目标参数有效性][有效性_目标识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1082,BUS6000019110021.code1082,[IFF空空询问目标参数[4]][IFF空空询问目标参数有效性][有效性_主波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1083,BUS6000019110021.code1083,[IFF空空询问目标参数[4]][IFF空空询问目标参数有效性][有效性_辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1084,BUS6000019110021.code1084,[IFF空空询问目标参数[4]][目标方位_机体系][_角度_毫弧度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1085,BUS6000019110021.code1085,[IFF空空询问目标参数[4]][目标斜距][_距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1086,BUS6000019110021.code1086,[IFF空空询问目标参数[4]][目标高度][_高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1087,BUS6000019110021.code1087,[IFF空空询问目标参数[4]][敌我识别_识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1088,BUS6000019110021.code1088,[IFF空空询问目标参数[4]][目标方位角精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1089,BUS6000019110021.code1089,[IFF空空询问目标参数[4]][目标斜距精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1090,BUS6000019110021.code1090,[IFF空空询问目标参数[4]][IFF主波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1091,BUS6000019110021.code1091,[IFF空空询问目标参数[4]][IFF辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1092,BUS6000019110021.code1092,[IFF空空询问目标参数[5]][IFF目标序号],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1093,BUS6000019110021.code1093,[IFF空空询问目标参数[5]][IFF目标敌我属性],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1094,BUS6000019110021.code1094,[IFF空空询问目标参数[5]][IFF询问_交织状态],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1095,BUS6000019110021.code1095,[IFF空空询问目标参数[5]][IFF空空询问目标参数有效性][有效性_目标方位],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1096,BUS6000019110021.code1096,[IFF空空询问目标参数[5]][IFF空空询问目标参数有效性][有效性_目标距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1097,BUS6000019110021.code1097,[IFF空空询问目标参数[5]][IFF空空询问目标参数有效性][有效性_目标高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1098,BUS6000019110021.code1098,[IFF空空询问目标参数[5]][IFF空空询问目标参数有效性][有效性_目标识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1099,BUS6000019110021.code1099,[IFF空空询问目标参数[5]][IFF空空询问目标参数有效性][有效性_主波束指向],analysis_detail
