evidence_quadrant,dataset_role,dataset_id,task_group,model_or_component,metric,value,baseline,delta_abs,delta_rel_pct,protocol,artifact_path,figure_path,midterm_use,wording_boundary
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,contiformer,nrmse,2.23608136177063,chronaris_full,-6.544905656886529,-292.69532713711175,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,contiformer,rmse,414.2889175033224,chronaris_full,-697.6900238434657,-168.40663468577353,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,contiformer,mae,315.9285888671875,chronaris_full,-676.595274037908,-214.16082554097068,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,contiformer,nrmse,2.046285331249237,chronaris_full,-9.27005134658926,-453.0185113984072,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,classical_baseline,rmse,463.13663933056176,chronaris_full,-374.9843998536532,-80.96625660964165,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,classical_baseline,mae,360.9690202958808,chronaris_full,-401.5888796775018,-111.25300430167816,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,classical_baseline,nrmse,4.111481326727145,chronaris_full,-4.669505691930014,-113.57234341733158,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,classical_baseline,rmse,11284.299174723108,chronaris_full,10172.32023337632,90.14578642298294,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,classical_baseline,mae,8571.043220355687,chronaris_full,7578.519357450591,88.4200343250176,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,classical_baseline,nrmse,141.462445537937,chronaris_full,130.14610886009848,92.0004658234162,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,top1,0.027027027027027,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,top3,0.0945945945945945,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,top5,0.1486486486486486,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,mrr,0.1199479110894095,,,,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,top1,0.027027027027027,,,,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,top3,0.0945945945945945,,,,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T3_paired_pilot_window_retrieval,chronaris_full,top5,0.1486486486486486,,,,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
