stage,dataset_id,candidate_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy,rmse,mae
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_11,1884,,,3.8467856770936164,3.075606973561005
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_12,1848,,,2.010225940520365,1.8072900725649548
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_13,1686,,,6.54397532101256,6.47250355449577
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_14,1789,,,4.000118340615696,3.376400320672536
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_15,1476,,,2.6565602385108007,2.453405892622827
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_16,1767,,,2.1716846851291103,1.8282753281088695
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_01,324,,,2.064001858249984,1.9232928237797302
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_02,314,,,2.100841038713499,1.6232736824424403
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_03,304,,,1.1644687106736449,0.9532962629669591
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_06,426,,,0.839839208439189,0.7190723195322243
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_08,241,,,2.2136906930285187,2.1365124991325914
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_12,331,,,0.4246524071308367,0.34477463661723984
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_16,313,,,1.1727756785384797,1.1672643350716978
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_17,215,,,3.461796637692569,3.445618825735048
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_18,330,,,0.9404585456188174,0.9082447427691835
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_19,312,,,0.48964635003387424,0.46041543514300615
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_20,315,,,1.7564743393328808,1.6837276004609607
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_21,311,,,1.2920375381895446,1.1040901386469506
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_22,301,,,0.8368949287670758,0.834220753159634
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_23,324,,,1.9005747755799327,1.854340038181823
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_24,330,,,0.3912951336962265,0.32944563952359285
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_25,428,,,0.749022324609602,0.6369233733025667
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,heat_the_chair,subject_26,321,,,0.9223406138415686,0.7727757703478091
