dataset_id,task_group,task_type,metric_name,metric_direction,model_family,model_name,value,sample_count,fold_count,protocol,evidence_role,source_path
nasa_csm,benchmark_only,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.6369680575915146,1451.0,17.0,full_loso_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-09_public-fusion-nasa-full-confirm/deep_baseline_summary.json
nasa_csm,loft_only,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.6328592010748634,1359.0,17.0,full_loso_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-09_public-fusion-nasa-full-confirm/deep_baseline_summary.json
nasa_csm,loft_only,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.6182598039215687,1359.0,17.0,full_loso_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-09_public-fusion-nasa-full-confirm/deep_baseline_summary.json
nasa_csm,combined,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.5615950767425805,2810.0,17.0,full_loso_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-09_public-fusion-nasa-full-confirm/deep_baseline_summary.json
nasa_csm,combined,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.5421254364474802,2810.0,17.0,full_loso_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-09_public-fusion-nasa-full-confirm/deep_baseline_summary.json
uab_workload_dataset,n_back,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.3021636801801681,3764.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
uab_workload_dataset,n_back,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.327583201891522,3764.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.38188213514347424,638.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.5036362921613334,638.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,rmse,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_current,6.064891117853205,3764.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
