dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,spearman,0.7230059685295714,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,frame_macro_f1,0.5171471961755273,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,segmental_f1_iou_0.10,0.6195606476856477,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,segmental_f1_iou_0.25,0.48199479918229926,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,segmental_f1_iou_0.50,0.3289779953842454,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,boundary_f1_1s,0.2288000194250194,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,boundary_f1_2s,0.36564991721241724,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,edit_score,0.5554371843434344,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,boundary_detection_delay_s,3.016581632653061,lower,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,frame_macro_f1,0.560455032318598,higher,available,,False
