candidate_id,candidate_order,evaluation_role,fit_role,metric,outer_pool_id,outer_test_opened,ranking_eligible,split_id,status,task,validation_support_hash,value
vehicle_30s_no_adaptation,4,inner_validation,inner_train,recall_low,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.8
vehicle_30s_no_adaptation,4,inner_validation,inner_train,recall_medium,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.6666666666666666
vehicle_30s_no_adaptation,4,inner_validation,inner_train,recall_high,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,1.0
vehicle_30s_no_adaptation,4,inner_validation,inner_train,minimum_class_recall,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.6666666666666666
vehicle_30s_no_adaptation,4,inner_validation,inner_train,ordinal_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.16666666666666666
vehicle_30s_no_adaptation,4,inner_validation,inner_train,score_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.6021632735400683
vehicle_30s_no_adaptation,4,inner_validation,inner_train,score_spearman,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,maneuver,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.8111888111888113
vehicle_30s_no_adaptation,4,inner_validation,inner_train,rmse,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,1.1664810033993418
vehicle_30s_no_adaptation,4,inner_validation,inner_train,mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.9809590892814647
vehicle_30s_no_adaptation,4,inner_validation,inner_train,validation_std,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.7424450098311778
vehicle_30s_no_adaptation,4,inner_validation,inner_train,validation_iqr,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.8094986823286678
vehicle_30s_no_adaptation,4,inner_validation,inner_train,nrmse_std,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,1.5711345459303232
vehicle_30s_no_adaptation,4,inner_validation,inner_train,nrmse_iqr,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,1.4409918494786804
vehicle_30s_no_adaptation,4,inner_validation,inner_train,train_mean_baseline_rmse,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.9686999988458442
vehicle_30s_no_adaptation,4,inner_validation,inner_train,rmse_ratio,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,1.2041715750894428
vehicle_30s_no_adaptation,4,inner_validation,inner_train,response_skill,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,-0.4500291822533897
vehicle_30s_no_adaptation,4,inner_validation,inner_train,spearman,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.18881118881118883
vehicle_30s_no_adaptation,4,inner_validation,inner_train,auprc,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.591220238095238
vehicle_30s_no_adaptation,4,inner_validation,inner_train,prevalence,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.6666666666666666
vehicle_30s_no_adaptation,4,inner_validation,inner_train,random_baseline_auprc,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.6666666666666666
vehicle_30s_no_adaptation,4,inner_validation,inner_train,normalized_ap,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,-0.22633928571428572
vehicle_30s_no_adaptation,4,inner_validation,inner_train,auprc_lift,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,-0.07544642857142858
vehicle_30s_no_adaptation,4,inner_validation,inner_train,auroc,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.3125
vehicle_30s_no_adaptation,4,inner_validation,inner_train,balanced_accuracy,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_327,completed,high_response,ef23ad8b080593cb9c8caaa4a57c59a5dc23c5987cd8d56c0f61e753cf15435c,0.5
vehicle_30s_window,5,inner_validation,inner_train,macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9153439153439153
vehicle_30s_window,5,inner_validation,inner_train,support_aware_macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9153439153439153
vehicle_30s_window,5,inner_validation,inner_train,majority_macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.16666666666666666
vehicle_30s_window,5,inner_validation,inner_train,macro_f1_lift,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.7486772486772487
vehicle_30s_window,5,inner_validation,inner_train,recall_low,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.0
vehicle_30s_window,5,inner_validation,inner_train,recall_medium,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.75
vehicle_30s_window,5,inner_validation,inner_train,recall_high,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.0
vehicle_30s_window,5,inner_validation,inner_train,minimum_class_recall,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.75
vehicle_30s_window,5,inner_validation,inner_train,ordinal_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.08333333333333333
vehicle_30s_window,5,inner_validation,inner_train,score_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.5431530098185848
vehicle_30s_window,5,inner_validation,inner_train,score_spearman,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,maneuver,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.8601398601398602
vehicle_30s_window,5,inner_validation,inner_train,rmse,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.1926666435909725
vehicle_30s_window,5,inner_validation,inner_train,mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.0502443568066477
vehicle_30s_window,5,inner_validation,inner_train,validation_std,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9229823964743179
vehicle_30s_window,5,inner_validation,inner_train,validation_iqr,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.5375502327333572
vehicle_30s_window,5,inner_validation,inner_train,nrmse_std,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.2921878555287902
vehicle_30s_window,5,inner_validation,inner_train,nrmse_iqr,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.7756927989732908
vehicle_30s_window,5,inner_validation,inner_train,train_mean_baseline_rmse,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,1.2411261006308119
vehicle_30s_window,5,inner_validation,inner_train,rmse_ratio,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.9609552510295212
vehicle_30s_window,5,inner_validation,inner_train,response_skill,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.07656500551879009
vehicle_30s_window,5,inner_validation,inner_train,spearman,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.04195804195804196
vehicle_30s_window,5,inner_validation,inner_train,auprc,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.6321293290043289
vehicle_30s_window,5,inner_validation,inner_train,prevalence,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.6666666666666666
vehicle_30s_window,5,inner_validation,inner_train,random_baseline_auprc,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.6666666666666666
vehicle_30s_window,5,inner_validation,inner_train,normalized_ap,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,-0.10361201298701304
vehicle_30s_window,5,inner_validation,inner_train,auprc_lift,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,-0.034537337662337686
vehicle_30s_window,5,inner_validation,inner_train,auroc,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.40625
vehicle_30s_window,5,inner_validation,inner_train,balanced_accuracy,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_339,completed,high_response,d49030f301fc10972368913bbfc6141aa638775e23f48bc8ad0055d5e48293a1,0.375
vehicle_30s_window,5,inner_validation,inner_train,macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,1.0
vehicle_30s_window,5,inner_validation,inner_train,support_aware_macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,1.0
vehicle_30s_window,5,inner_validation,inner_train,majority_macro_f1,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,0.13333333333333333
vehicle_30s_window,5,inner_validation,inner_train,macro_f1_lift,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,0.8666666666666667
vehicle_30s_window,5,inner_validation,inner_train,recall_low,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,1.0
vehicle_30s_window,5,inner_validation,inner_train,recall_medium,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,1.0
vehicle_30s_window,5,inner_validation,inner_train,recall_high,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,1.0
vehicle_30s_window,5,inner_validation,inner_train,minimum_class_recall,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,1.0
vehicle_30s_window,5,inner_validation,inner_train,ordinal_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,0.0
vehicle_30s_window,5,inner_validation,inner_train,score_mae,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,0.489969239948927
vehicle_30s_window,5,inner_validation,inner_train,score_spearman,leave_one_view_out__fold01,False,True,leave_one_view_out__fold01__candidate_353,completed,maneuver,f1ddae33af89bc208d97290f0e03c19c4d93c0cd3b4e08a59452657e405013ac,0.9580419580419581
