split_id,split_kind,field_name,selected_field_count,mean_jaccard_to_main_splits,train_iqr,validation_iqr,validation_to_train_iqr_ratio,train_mean,validation_mean,validation_to_train_mean_ratio,fit_role,outer_test_opened
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.f8,11,0.9166666666666666,60.33856201171875,73.5511474609375,1.2189741519967388,62.64003092447917,76.69259440104166,1.224338386638166,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.fp1,11,0.9166666666666666,54.613685607910156,87.70264101028442,1.6058729608532722,56.89822222391764,84.7440195719401,1.4893966148614963,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.fp2,11,0.9166666666666666,65.9208984375,89.78973388671875,1.3620829814971187,88.89697265625,90.1386006673177,1.013967044928165,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.fpz,11,0.9166666666666666,47.955810546875,92.874267578125,1.9366634933079465,58.772314453125,93.1982421875,1.5857507578986372,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,spo2.toi1,11,0.9166666666666666,0.8450689315795898,0.5917949676513672,0.700291947244106,0.6950598398844401,0.6572603861490885,0.9456169791918405,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,spo2.toi2,11,0.9166666666666666,0.5324363708496094,0.717437744140625,1.3474619380261508,0.5547894795735677,0.5099599202473958,0.9191953687358497,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.af3,11,0.9166666666666666,39.976104736328125,69.25686645507812,1.7324565990578173,55.1144290500217,87.21649805704753,1.5824621530214906,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.af4,11,0.9166666666666666,35.75164794921875,52.1689453125,1.4592039333851183,46.51460435655382,69.8826904296875,1.5023817013256218,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.f3,11,0.9166666666666666,84.4453125,47.70947265625,0.5649747895272458,59.820041232638886,84.58268229166667,1.413952256614575,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.f4,11,0.9166666666666666,63.098876953125,54.884765625,0.8698215923204606,67.28740776909723,53.873209635416664,0.8006432618163477,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.f7,11,0.9166666666666666,37.69620895385742,45.03875732421875,1.1947821431950645,49.62521171569824,76.11326599121094,1.5337620406994368,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.f8,11,0.9166666666666666,57.4775390625,61.29931640625,1.0664916662419084,58.42125108506944,73.75142415364583,1.2624074764549895,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.fp1,11,0.9166666666666666,51.822509765625,78.71165084838867,1.518869912020352,49.3433346218533,79.05438550313313,1.6021289624824286,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.fp2,11,0.9166666666666666,63.7249755859375,72.66552734375,1.1402990220962197,72.41031901041667,92.93668619791667,1.2834729561755853,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,eeg.fpz,11,0.9166666666666666,54.88525390625,72.1513671875,1.3145856501045328,51.72626410590278,83.21891276041667,1.608832847275357,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,spo2.toi1,11,0.9166666666666666,0.7687721252441406,1.1082305908203125,1.4415592793096774,0.4717695448133681,0.9626210530598959,2.04044763729017,inner_train,False
legacy_diagnostic__leave_one_view_out__fold03,distribution_pressure_diagnostic,spo2.toi2,11,0.9166666666666666,0.49742889404296875,0.6124191284179688,1.2311691897114987,0.43882836235894096,0.7138442993164062,1.626705018515907,inner_train,False
