evidence_quadrant,dataset_role,task,split_protocol,model_or_component,metric,value,baseline,delta_positive_is_better,seed_count,artifact_path,claim_boundary,source_stage,source_file,dataset_id,status,delta_convention,figure_path
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,contiformer,nrmse,2.23608136177063,chronaris_full,-6.544905656886529,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,contiformer,rmse,414.2889175033224,chronaris_full,-697.6900238434657,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,contiformer,mae,315.9285888671875,chronaris_full,-676.595274037908,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,contiformer,nrmse,2.046285331249237,chronaris_full,-9.27005134658926,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,classical_baseline,rmse,463.13663933056176,chronaris_full,-374.9843998536532,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,classical_baseline,mae,360.9690202958808,chronaris_full,-401.5888796775018,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,classical_baseline,nrmse,4.111481326727145,chronaris_full,-4.669505691930014,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,classical_baseline,rmse,11284.299174723108,chronaris_full,10172.32023337632,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,classical_baseline,mae,8571.043220355687,chronaris_full,7578.519357450591,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,classical_baseline,nrmse,141.462445537937,chronaris_full,130.14610886009848,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T3_paired_pilot_window_retrieval,leave_one_view_out,chronaris_full,top1,0.027027027027027,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
