dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only,representation_family
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.25,0.3738777222233105,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.50,0.26347140400449226,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_1s,0.23181219821844823,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_2s,0.3231959013209013,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,edit_score,0.4563548430735931,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_detection_delay_s,4.157094594594595,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,frame_macro_f1,0.4895672963328842,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.10,0.4780379765883507,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.25,0.38191179589125285,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.50,0.28604240372009976,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_1s,0.2104829253170004,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_2s,0.322713248564158,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,edit_score,0.5241181527486675,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_detection_delay_s,3.2679521276595747,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,macro_f1,0.3432727685258954,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,balanced_accuracy,0.4169029545521974,higher,available,,False,end_to_end_finetuned_v1
