seed,method_name,role,sample_count,manifest_path,label_used_for_encoder_training
43,naive_time_sync,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/naive_time_sync/train/representation_manifest.json,True
43,naive_time_sync,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/naive_time_sync/validation/representation_manifest.json,True
43,naive_time_sync,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/naive_time_sync/held_out/representation_manifest.json,True
43,mult,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/mult/train/representation_manifest.json,True
43,mult,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/mult/validation/representation_manifest.json,True
43,mult,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/mult/held_out/representation_manifest.json,True
43,contiformer,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/contiformer/train/representation_manifest.json,True
43,contiformer,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/contiformer/validation/representation_manifest.json,True
43,contiformer,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/contiformer/held_out/representation_manifest.json,True
43,chronaris,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/chronaris/train/representation_manifest.json,True
43,chronaris,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/chronaris/validation/representation_manifest.json,True
43,chronaris,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/chronaris/held_out/representation_manifest.json,True
