seed,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
29,naive_time_sync,train,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,ed69895d5b59519e3dbd5cdb32b321987466447bf4ca991dee9960a359349c0d,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/naive_time_sync/train
29,naive_time_sync,validation,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,328a598f435104b5a3b38579f3137bbb8224b734e2d6cc3a1fbb4a73db458292,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/naive_time_sync/validation
29,naive_time_sync,held_out,completed,192,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,3852f4d10589dd5b745b0047b725aedde98f37fcc2febd28814b1009f8435629,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/naive_time_sync/held_out
29,mult,train,completed,384,12d22389da27f4527ca194e142ad305c23bdf3150f32ea1cc9b8a9bbb605fb24,365ca38b08145d424202ef32fba56d7df7baa3650d29e510fc8ecf502abce06a,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/mult/train
29,mult,validation,completed,96,12d22389da27f4527ca194e142ad305c23bdf3150f32ea1cc9b8a9bbb605fb24,dac8b5517dd16cbb61eb0c944c05de0b6900b510f4e212c4a78442fb177f25b1,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/mult/validation
29,mult,held_out,completed,192,12d22389da27f4527ca194e142ad305c23bdf3150f32ea1cc9b8a9bbb605fb24,f7d49cd0baa87944984cf17affedb8465385ee70576492c42b776f9bf927029b,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/mult/held_out
29,contiformer,train,completed,384,fe4d0fddd0f34aa9d2c34e1aea7e636580c3736b645f5963a8abab54b8ab15b7,699a1929a1f47f67284c2e2a986845dce12d02330185fc93a98ee552165d585b,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/contiformer/train
29,contiformer,validation,completed,96,fe4d0fddd0f34aa9d2c34e1aea7e636580c3736b645f5963a8abab54b8ab15b7,056e650d44bdaec6050790e5535930b297255cf1cd7b33e2ae50c01cdbac9c82,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/contiformer/validation
29,contiformer,held_out,completed,192,fe4d0fddd0f34aa9d2c34e1aea7e636580c3736b645f5963a8abab54b8ab15b7,ff09f880d274ac4952af33e280fc9f9047417c3fb0759e62fab6b6932b16f449,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/contiformer/held_out
29,chronaris,train,completed,384,bfb46a9650d3663e5638695a2892a2ac4fb548861bafa7f9d9e9359aa83bc66e,bdae9b5dfafc06bc57e1ea9c5c2dbdb6d777b18286293dec356a869036f896f1,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/chronaris/train
29,chronaris,validation,completed,96,bfb46a9650d3663e5638695a2892a2ac4fb548861bafa7f9d9e9359aa83bc66e,976c4b564a4bf4b22ba27f0e5b4562fbad20eea08443636a03f18bd9a961779b,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/chronaris/validation
29,chronaris,held_out,completed,192,bfb46a9650d3663e5638695a2892a2ac4fb548861bafa7f9d9e9359aa83bc66e,d38a27fd3a16e101c0d905aa89022347cd90f12d6ca798888c135aa36b829684,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/chronaris/held_out
43,physiology_only,train,completed,384,818b906cc6eeaaa9840da30e67162b3a5b28474866f76e61b9e3c0137fa5c8cb,5e2e8547ae6c3fa44df87048c5098de3944e58ea8e4297cfae592b34170b64bc,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/physiology_only/train
43,physiology_only,validation,completed,96,818b906cc6eeaaa9840da30e67162b3a5b28474866f76e61b9e3c0137fa5c8cb,a8ac3947cb6a79bfc64a67705c3f05b305266bdf47d5bb7059f641792fcff4f6,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/physiology_only/validation
43,physiology_only,held_out,completed,192,818b906cc6eeaaa9840da30e67162b3a5b28474866f76e61b9e3c0137fa5c8cb,cfbc8936204b105a13df4e0ae75354cd8bc279cc2a77693a40251d30fcd654d7,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/physiology_only/held_out
43,vehicle_only,train,completed,384,6b7b3cb8350ec24d37bd062d52369b06634c8fbf32d4c3164228ea50094a2824,9c46895fcbec8dd5b01d99f4a3a812e036d52fde79726eda127a859c383a7a54,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/vehicle_only/train
43,vehicle_only,validation,completed,96,6b7b3cb8350ec24d37bd062d52369b06634c8fbf32d4c3164228ea50094a2824,d589c442452b3b39212af282992c3f567ca555683340bdb7320680adec1e8f92,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/vehicle_only/validation
43,vehicle_only,held_out,completed,192,6b7b3cb8350ec24d37bd062d52369b06634c8fbf32d4c3164228ea50094a2824,f923a4494411a95ec03fe82c0868cd552d21adb7cdc61512c444b12bbd9e1d01,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/vehicle_only/held_out
43,naive_time_sync,train,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,ed69895d5b59519e3dbd5cdb32b321987466447bf4ca991dee9960a359349c0d,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/naive_time_sync/train
43,naive_time_sync,validation,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,328a598f435104b5a3b38579f3137bbb8224b734e2d6cc3a1fbb4a73db458292,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/naive_time_sync/validation
43,naive_time_sync,held_out,completed,192,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,3852f4d10589dd5b745b0047b725aedde98f37fcc2febd28814b1009f8435629,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/naive_time_sync/held_out
43,mult,train,completed,384,6873e3c0ca791937d2eb89b0a5fef58a7f15e2499dbbfa289728a30cbf1fee00,e820248bf81badbd8d8a15037f587865bb3beba2a5d8c2bc410f00a7f149ac75,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/mult/train
43,mult,validation,completed,96,6873e3c0ca791937d2eb89b0a5fef58a7f15e2499dbbfa289728a30cbf1fee00,7fe32b6430b65950ad92bd6027ef97249903a853183377c08bdb2b595b1a5f31,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/mult/validation
43,mult,held_out,completed,192,6873e3c0ca791937d2eb89b0a5fef58a7f15e2499dbbfa289728a30cbf1fee00,e890cd148271fdf8bc0357a02614cc01a10b23a19303241ff760aac7b14e739a,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/mult/held_out
43,contiformer,train,completed,384,cee99c8c8bf4139a6ed66c9fd219071937e6db6ea5275ab4101a31ae559d8d2e,705cc8d650193611235df84fb5cf06839569195af50651cad2122a7146a01c67,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/contiformer/train
43,contiformer,validation,completed,96,cee99c8c8bf4139a6ed66c9fd219071937e6db6ea5275ab4101a31ae559d8d2e,1f35dcce588ab588065c8b8c76d5598039641d091779d4ff527b6af30b44bf74,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/contiformer/validation
43,contiformer,held_out,completed,192,cee99c8c8bf4139a6ed66c9fd219071937e6db6ea5275ab4101a31ae559d8d2e,ef278456264fe71d98ca2db2e59b02a8d9d3deb0e435c7eb996d190d649bb49a,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/contiformer/held_out
43,chronaris,train,completed,384,98ffcc1a3aad4b1e62a46cfe1d87bf0ee180df367065a265d7c9e05243d6a5c5,9fbf26940bd3f58b736d77f8fc78e97ef2460badff477761874d40219a5b49a7,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/chronaris/train
43,chronaris,validation,completed,96,98ffcc1a3aad4b1e62a46cfe1d87bf0ee180df367065a265d7c9e05243d6a5c5,ade8362635c07a955ca083c1c9ad99dcae74a985ea3d9c786df2391bd5438c71,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/chronaris/validation
43,chronaris,held_out,completed,192,98ffcc1a3aad4b1e62a46cfe1d87bf0ee180df367065a265d7c9e05243d6a5c5,82cb937311db4260aad30ebb52d15d11744478186dfdcf885f8585fcba51865e,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_43/chronaris/held_out
