candidate_id,direction,evaluation_role,fit_role,fold_id,head_variant,metric,outer_test_accessed,status,task,value
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,ordinal_cumulative,macro_f1,False,completed,maneuver,1.0
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.6988304093567251
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,1.4731858030777907
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,1.3675397544392434
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,1.5016696533039933
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,1.4887209584972836
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,1.3518471019251899
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,1.3492000831226547
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,1.0847628839095949
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,1.0193691537745722
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,1.2912341872419149
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=4,rmse,False,completed,response,2.233474318248503
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,huber,rmse,False,completed,response,3.9687438090483282
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold01,kernel_ridge_rbf,rmse,False,completed,response,1.5012210532252102
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.7188134088134088
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.7112223156959998
