split_id,candidate_id,variant,task,metric,direction,value,direct_value,direction_normalized_delta,outer_test_opened
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,validation_iqr,diagnostic,0.8094986823286678,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,nrmse_std,diagnostic,1.9103253537286633,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,nrmse_iqr,diagnostic,1.7520862689359773,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,0.9686999988458442,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,rmse_ratio,diagnostic,1.464139080953515,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,response_skill,diagnostic,-1.1437032483754042,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,spearman,diagnostic,0.18563951410966176,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,auprc,higher,0.7593749999999999,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,normalized_ap,diagnostic,0.2781249999999998,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,auprc_lift,diagnostic,0.09270833333333328,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,auroc,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,high_response,balanced_accuracy,diagnostic,0.375,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,macro_f1,higher,0.30158730158730157,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,support_aware_macro_f1,diagnostic,0.30158730158730157,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,majority_macro_f1,diagnostic,0.16666666666666666,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,macro_f1_lift,diagnostic,0.1349206349206349,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,recall_low,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,recall_medium,diagnostic,0.25,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,recall_high,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,minimum_class_recall,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,ordinal_mae,diagnostic,0.8333333333333334,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,score_mae,diagnostic,3.394180296522004,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,maneuver,score_spearman,diagnostic,-0.8321678321678322,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,rmse,lower,1.4350886154862807,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,mae,diagnostic,1.125880768916817,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,validation_std,diagnostic,0.9229823964743179,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,validation_iqr,diagnostic,1.5375502327333572,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,nrmse_std,diagnostic,1.5548385548501762,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,nrmse_iqr,diagnostic,0.9333604749518155,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,1.2411261006308119,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,rmse_ratio,diagnostic,1.15627945843447,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,response_skill,diagnostic,-0.33698218599751173,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,response,spearman,diagnostic,0.014084856304079975,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,auprc,higher,0.5708333333333333,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,normalized_ap,diagnostic,-0.2874999999999999,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,auprc_lift,diagnostic,-0.09583333333333333,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,auroc,diagnostic,0.203125,,,False
leave_one_view_out__fold01__candidate_339,physiology_only,matched_task_anchor,high_response,balanced_accuracy,diagnostic,0.3125,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,macro_f1,higher,1.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,support_aware_macro_f1,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,majority_macro_f1,diagnostic,0.16666666666666666,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,macro_f1_lift,diagnostic,0.8333333333333334,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,recall_low,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,recall_medium,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,recall_high,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,minimum_class_recall,diagnostic,1.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,ordinal_mae,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,score_mae,diagnostic,0.12067198998726543,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,maneuver,score_spearman,diagnostic,0.9790209790209792,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,rmse,lower,1.1560769445498664,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,mae,diagnostic,0.9921954901174425,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,validation_std,diagnostic,0.9229823964743179,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,validation_iqr,diagnostic,1.5375502327333572,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,nrmse_std,diagnostic,1.252544955316528,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,nrmse_iqr,diagnostic,0.7518953982366272,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,1.2411261006308119,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,rmse_ratio,diagnostic,0.9314742023089204,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,response_skill,diagnostic,0.1323558104329604,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,response,spearman,diagnostic,0.1328671328671329,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,high_response,auprc,higher,0.6733946608946609,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,high_response,normalized_ap,diagnostic,0.02018398268398291,,,False
leave_one_view_out__fold01__candidate_339,vehicle_only,matched_task_anchor,high_response,auprc_lift,diagnostic,0.006727994227994305,,,False
