seed,method,task,consumer,metric,direction,fold_count,available_fold_count,mean,std,minimum,maximum,worst_fold_value,statistical_unit,window_level_p_value_reported,representation_family
17,contiformer,maneuver_intensity_classification,minirocket,macro_f1,higher,3,3,0.9627039627039627,0.052744561766828665,0.8881118881118882,1.0,0.8881118881118882,view_fold,False,frozen_task_agnostic_v2
17,contiformer,physiology_response_regression,linear,mae,lower,3,3,0.4842404056273177,0.09867506431100695,0.3925235198196873,0.6211821187759182,0.6211821187759182,view_fold,False,frozen_task_agnostic_v2
17,contiformer,physiology_response_regression,linear,rmse,lower,3,3,0.6914263222346992,0.12164938800455954,0.5648206209811758,0.8556058684378105,0.8556058684378105,view_fold,False,frozen_task_agnostic_v2
17,contiformer,physiology_response_regression,linear,spearman,higher,3,3,0.4472376714868373,0.10068755683593525,0.3263626251390434,0.5728587319243604,0.3263626251390434,view_fold,False,frozen_task_agnostic_v2
17,contiformer,physiology_response_regression,minirocket,mae,lower,3,3,0.24142985247716017,0.3185662745691418,0.016089590128856135,0.6919505890420543,0.6919505890420543,view_fold,False,frozen_task_agnostic_v2
17,contiformer,physiology_response_regression,minirocket,rmse,lower,3,3,0.3303786793532592,0.43640340154679846,0.02168128261997161,0.947546274546721,0.947546274546721,view_fold,False,frozen_task_agnostic_v2
17,contiformer,physiology_response_regression,minirocket,spearman,higher,3,3,0.7772339636633295,0.3122072293477538,0.335706340378198,0.9982202447163514,0.335706340378198,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,linear,balanced_accuracy,higher,3,3,0.7140151515151515,0.1552799317634063,0.5,0.8636363636363636,0.5,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,linear,brier_score,lower,3,3,0.6249611621691367,0.5010088228816103,0.25760435689338307,1.3333313735109604,1.3333313735109604,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,linear,ece_10_bins,lower,3,3,0.2984820475524073,0.2603509580487056,0.11231590675881774,0.6666661140430628,0.6666661140430628,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,linear,high_response_recall,higher,3,3,0.625,0.44487826050130463,0.0,1.0,0.0,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,linear,macro_auprc,higher,3,3,0.7780628612597531,0.14072366547275492,0.5795135491694712,0.8890998741048147,0.5795135491694712,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,linear,macro_f1,higher,3,3,0.5825358851674641,0.2369568616675607,0.25,0.784688995215311,0.25,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,minirocket,balanced_accuracy,higher,3,3,0.875,0.1767766952966369,0.625,1.0,0.625,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,minirocket,brier_score,lower,3,3,0.3312987573746799,0.4684456926776795,1.7047821433122529e-06,0.9937810060469862,0.9937810060469862,view_fold,False,frozen_task_agnostic_v2
