dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,sample_count,threshold_scope,smoke_only,representation_family
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,macro_auprc,0.5336309523809524,higher,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,brier_score,1.1397847195350421,lower,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,ece_10_bins,0.5623170553757539,lower,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,linear,contiformer,29,leave_one_sortie_out__fold02,validation,mae,0.999861309442997,lower,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,linear,contiformer,29,leave_one_sortie_out__fold02,validation,rmse,1.1985690436589571,lower,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,linear,contiformer,29,leave_one_sortie_out__fold02,validation,spearman,-0.25487723714572397,higher,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,macro_f1,0.25,higher,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,balanced_accuracy,0.5,higher,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,macro_auprc,0.5161616161616162,higher,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,brier_score,1.3156720420538568,lower,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,ece_10_bins,0.6597147312715947,lower,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,high_response_recall,0.0,higher,available,,12,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,contiformer,29,leave_one_sortie_out__fold02,validation,macro_f1,0.1111111111111111,higher,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,contiformer,29,leave_one_sortie_out__fold02,validation,balanced_accuracy,0.16666666666666666,higher,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
